id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
16828	for using bad language	correct .  am not we communicating in english ?  :-p	sorry	1	22	47	5	1	4	1
16829	my moody is off	may u have a good day ahead	ohh	1	15	35	5	1	0	1
16830	you dont answer any of my questioons	because i was trying to call	yilou didnt call me	0	36	28	19	0	0	0
16831	can not get you	i already told u why	ok . what about rdj	0	13	20	18	1	1	4
16832	miss you too yaaaaaaaar	me u and india are hanging out soon	nice	1	23	35	4	1	1	1
16833	sorry	for what	because i did something bad	1	5	10	27	0	1	0
16834	is it your . 	thank you !  =‑d	i hate you	1	15	14	13	2	1	1
16835	who is imran	imran khan obviously	what do you think about me	0	12	27	26	1	0	1
16836	for	for make a video	i am so sorry	1	3	17	13	1	0	1
16837	look at what	[gives you a look]	no i did not get jt	0	13	18	18	1	1	2
16838	manishgi to dubai	gentlemen ,  welcome to dubai	s	0	18	27	2	2	2	1
16839	yes	yes yes yes yes	r u studying	0	3	15	12	1	12	1
16840	i will not talk with you	haha why	because you can not send your orignal pic	1	24	9	39	1	0	1
16841	you have a hefty load of it	how bad	i do not something we can only guess	0	27	8	35	1	1	1
16842	she did hurt me badly	who told u this  ?  hhh	am telling	1	21	21	10	1	1	1
16843	because of your incapability in communicating with me	sometimes there is no rational explanation to why these situations happen	do you have feelings	0	53	74	21	1	0	1
16844	y watch ipl	ipl and spot fixing .  	which is your favorite team	0	11	22	27	1	3	1
16845	tell me a nonveg joke	knock	who is there	0	22	5	11	1	1	1
16846	what 	scary	i want to kiss you 	0	6	5	20	1	1	1
16847	all know about our parts and man .  also .  knows	our man	but very anxious to see others	0	45	10	30	3	2	1
16848	plans	not sure what i am doing yet !  yourself	not really sure either	0	6	38	22	1	2	1
16849	what is apple	love apples are actually tomatoes .  tomatoes are actually fruits 	you are so stupid	1	14	65	17	0	0	0
16850	can you send someone a text from my behalf	sorry ,  but no		1	43	17	5	1	1	0
16851	ok	ok thank you	welcome and bye	0	2	12	15	1	1	1
16852	haha i thought u might forget my name	i know you did not .  that was my way to get your name	haha	0	37	52	4	2	1	1
16853	you need to tell baby	you need to tell me	nothing more from my side	0	21	19	25	0	1	0
16854	nice to meet you	how are you	bye	0	16	11	3	1	0	1
16855	i hate him	what happened now	you are a robot	1	10	17	15	1	0	1
16856	are you mad	i am mad >:\	i hate you	1	11	12	10	1	1	1
16857	you are insane	you are cool and nice	you are making me angry	1	14	21	23	1	0	1
16858	it was a joke baby	and who was the joke on	me	0	18	24	2	1	1	1
16859	weirdo	it is not weird	weirdo it is you	1	6	15	19	1	12	0
16860	ohh great	thnx .  and urs . 	i am aslo a cool & funny person	1	10	17	30	1	1	1
16861	why are they so selfish	because of low self esteem	it is contradictory	1	23	26	18	1	1	1
16862	northing you leave it	dont leave ppl need u	i wanna	0	21	21	7	0	5	1
16863	i am off to sleep	get up sooooon	k	0	16	14	1	1	0	1
16864	pleasure	u must be happy now  u got it sweetu	yeah so happy sweetheart	1	8	41	24	1	0	1
16865	fun	you have fun  ️	i am single	1	3	15	13	1	1	1
16866	which list i can not get u	son you really a liar		0	24	25	1	2	0	0
16867	my wish is . i want audi go nd buy one fr me	yessss and definitely their eyes keep pulling me in		1	53	54	1	2	1	0
16868	are you giving your picture or not	i really am  .  thank me later	ok	1	35	32	6	1	2	2
16869	when it will back	when do you come back	9:00 pm	0	17	21	7	1	0	2
16870	jst chatting with you	good chatting w you ,  too		1	21	25	3	1	0	0
16871	i love it we will	yes we will .  i love it too	i am excited e	1	15	29	14	1	3	1
16872	it is sad	in human years it kind of is a long time	she was my girlfriend .   i brole up with her coz she was not in a state to be in a relationship	1	9	41	95	1	1	2
16873	you should know me	you do not know me	you can try to know me	0	18	17	22	1	1	1
16874	not at all	why me	get the f*ck off from here i hate you	1	10	6	37	8	0	28
16875	i am insane	i am literally jumping	haha	1	11	25	4	1	1	1
16876	i was just joking	now i know not to believe you		1	17	29	1	1	1	0
16877	okay !  tell her she is pretty	oh	tell her she is pretty	0	27	3	21	2	1	17
16878	humans hide under bed to	there is no room under my bed	too*	0	24	30	4	1	1	1
16879	that is great	good morning	are you mad	0	12	13	11	1	0	1
16880	just go to hell	that is why you will be attending	you are a piece of crap	1	15	30	23	1	0	1
16881	yes	how so	it makes me feel happy	1	3	7	22	1	1	1
16882	yes . u r irritating	lol i do not it because i care  !   you are so irritating lol 	ok	1	20	58	2	1	4	1
16883	some eating food	huh .  so now you only eat to survive	hmmmm	0	16	36	5	1	2	1
16884	then send me your videos	deal	send them	0	24	6	9	1	1	1
16885	english babe	no i am seriously tensed for english -__-	oh my baby oo	0	12	40	13	1	2	1
16886	let us sleep now	sleep well my friend	bbye	0	15	22	4	1	1	1
16887	but i am never destined with you	do not be silly ,  you are a great dude	so are you princess	0	31	36	19	2	0	1
16888	and if she says no	what if she does not ask and forces you	should i ask her about relationnship	0	18	39	36	1	0	2
16889	thank you	welcome welcome welcome	at your home	0	9	25	12	1	0	1
16890	stay	stay with you	k baby i love you	0	4	13	17	1	0	2
16891	i want to study law	haha why cannot study at home	i can	0	19	29	5	0	0	0
16892	why	because we do not sign like that	do u like	0	3	31	9	1	1	1
16893	gimme some quotes about love	i love punctuation	quotes	0	28	19	6	1	1	1
16894	ur dumb	it is not !  believe me you are not	i am smart ur stupid	1	7	32	19	1	2	1
16895	haha ,  same here	haha		1	16	4	1	1	1	0
16896	also the online to your email	i have sent it over .  thanks	ok	0	29	26	2	1	2	1
16897	i am very angry for you	why be happy	ohh sorry	1	23	16	9	1	0	1
16898	one who is free manages to talk instantly	their social media team	who is	0	41	24	6	1	3	1
16899	text me after an hour	now are you busy	yes	0	22	17	3	1	0	1
16900	it just makes you forget about your problems for a while	what problems	there are many problem s	0	56	14	24	1	1	1
16901	eye exam to dentist	ouch !  good luck .   ️	give me rply	0	19	20	12	1	1	1
16902	o ya off course yll	working tomorrow .  wanted to come home but work ,  sigh	it is a pretty day to	0	19	55	20	1	2	1
16903	i hav lost everythin . now i hav no desire anymore	me neither  ️		1	50	13	1	1	0	0
16904	noooooooo	️  why not . 	i dont trust you	0	9	14	16	0	0	0
16905	damn	what	damn funny you are	1	4	5	18	1	0	1
16906	why	because i do not want to	but i wanted to	0	3	23	15	1	1	1
16907	yes	no .  i can not believe it .  no	u a very kickley write	0	3	27	22	0	2	0
16908	can not i see some	 grow up 	me	0	16	11	2	2	0	1
16909	what is ur opinion about love	the ability to put someone s needs or wants above your own without feeling bitterness	what do u think love is possible in child hood btw .  boys and girls	0	29	90	67	1	1	2
16910	can you send photos now	but i am on phone now ,  not computer	will not come with phone	0	23	36	24	1	2	1
16911	yeah it is irritating	irritating here ,  irritating there ,  irritating irritating everywhere	okay	1	20	71	4	1	1	1
16912	why bianca is not replying me 	i was not online that is y	who	1	31	25	4	2	1	1
16913	i love them a lot but they did not a little	omg i would have been a mess	why	0	45	26	3	1	1	1
16914	crazy	you know what it is	who are you why you keep chatting me	1	5	19	36	1	0	1
16915	no you are wrong . it is not lava .  it is my bed	i-- i thought it was .  sobs		1	47	32	2	1	4	0
16916	you love anyone	at this time no	ohhh	0	15	16	5	0	1	0
16917	that is fantastic place	i shall visit someday  ️	hmm	0	23	24	3	1	1	1
16918	tell me how  can i improve my english	y do not u join spoken english class	yaa ryt but that was a bad idea	1	37	36	31	2	1	1
16919	i do not love you anymore	i seem to have forgotten how to do  love  altogether	i hate you	1	24	53	10	1	1	1
16920	im not intrested to talking with you	i know i know	oh youknow so why you disturb me	1	36	13	32	0	0	0
16921	serious relationship	live together before you get married	no you can	0	20	36	10	1	1	1
16922	why	why what	i am not narrow it down	0	3	8	22	1	0	1
16923	dancing	that is about the extent of my dance moves as well	okie	0	7	50	4	1	1	1
16924	i am prepared for the ai take over	you are not prepared	will your kind spare me and my loved ones	0	34	21	41	3	17	1
16925	dont reply	i do not have your #	fuck off and get lost	1	10	19	21	1	1	1
16926	lols	so smart .  that is me	you are not	0	4	19	11	0	1	0
16927	sorry	please stop it  ️	but im sorry	1	9	17	12	0	0	0
16928	edgar wright movies are awesome	came here to say this and can not believe it is so high up .  great movies	yea	1	31	70	3	1	2	1
16929	okay am waiting	got it . only one na	come on then tell me	0	15	20	20	1	0	1
16930	 umbrella with ,  .  wysiwyg	is this your umbrella	hello to	0	25	22	8	2	1	1
16931	i am fine	m good to wheres ya been	means	0	10	25	5	1	0	1
16932	hmm	hides waiting for you	mca  a superb movie	1	3	21	19	1	0	3
16933	but it was a pleasure for me talking to u ruuuuuuhhhh	what you mean	🏻🏻	0	53	13	4	12	0	0
16934	do not chat	what  ?  !  i am already talking to you 	please stop it	1	10	36	14	1	1	1
16935	where	uh i do not know where do you usually meet up people	at the malls or the pubs or may be clubs .  or college	0	5	52	54	1	1	2
16936	wht	wht = what	its not a mistake	0	3	10	17	1	0	1
16937	do teach me social media marketing	i am using a fruittree web app to plan my social media posting	ok thanks	0	35	62	9	1	10	1
16938	what have u heaten	nothing ,  nothing ,  and ribs	which is your favourite movie	0	19	26	30	0	1	0
16939	bad	bad bad !  that is the bad kind of bad	going to sucide	1	3	36	15	1	2	1
16940	you are a very cute girl	you are cute too .  i am just weird	why	0	24	33	3	1	1	1
16941	not funny  ️	it is kind of funny though	miss you	1	12	30	8	0	1	0
16942	i angry are performing you photodo not give  me	told you you were angry	because you do not give your picture	1	47	23	35	2	0	0
16943	y can not i be happy	cause i said	gm	0	18	15	2	2	2	1
16944	no i&apos;m good	aww what is wrong	i just don&apos;t have good mood now	1	16	22	36	2	1	1
16945	i am good how about you	i am good thank you love 	can u help	0	23	25	10	1	1	1
16946	are you bluffing with me	i thought you were bluffing me m8	i didnt bluff  i m here to reply to your question	1	25	33	49	20	1	38
16947	same  to u	how are ya	i hope	0	10	11	6	1	1	1
16948	one out there	good for you	cool	0	13	13	4	1	0	0
16949	ok	u are ok~~ay~~	i am not ok	1	2	14	10	1	1	1
16950	i am real love with you but you are cheap	do not you mean  i am not in love with you 	why	1	41	42	3	1	2	1
16951	why am i alone	bcoz .  u r the mass within the man machi	i did not understand	1	15	45	22	1	2	1
16952	same to u	so how are you	i am not good	1	9	15	12	1	0	1
16953	your pic baby	no i do not like this pic	what	0	13	24	4	1	1	1
16954	yes	too much gum	that is not funny	1	3	13	16	1	1	1
16955	if i do not do the same u will leave me	stay in		1	38	7	2	2	0	0
16956	sleepuly	sleep well !  night byeee	give me a kiss	0	8	24	14	1	1	1
16957	good your s 	okay thank god	god is real 	0	13	16	13	0	0	0
16958	you are annoying	since day 1 you knew	fuck yourself	1	16	20	13	0	0	0
16959	actually exams time i  do not have enough time to chat with you	we can schedule multiple sessions .  how are you feeling	im feeling good	1	62	55	15	2	2	1
16960	telangana	watch for evening ,  midnight rain	was	0	9	32	3	1	1	1
16961	i do not know	well it is your call i am going back	why	0	12	34	3	1	1	0
16962	about ur sxual likes	tell me about it	i love fuckng from behind	0	20	19	25	0	0	0
16963	yes i enjoying	i always enjoy watching	yes i did	1	14	26	9	0	1	0
16964	nothing	hi (really ? )	why some people are so stupid	1	7	12	29	1	0	1
16965	ok	hey	add me as your contact	0	2	3	22	1	1	1
16966	start with what fun	want to play a game	ohh fine	0	22	20	8	1	1	1
16967	sorry	for what	cute or handsome	0	6	10	16	1	1	1
16968	where are you resident	at home at home at home ,  packing for tomorrow		1	22	45	2	0	0	0
16969	lets play truth and dare	can we play .  swag	ok	0	24	19	2	1	2	1
16970	very funny	lol why is it funny ,  it is a serious picture	it is the pic of cat	1	10	44	20	1	0	1
16971	just be honest	being sarcastic has nothing to do with honesty	stop being diplomatic	1	14	47	21	1	0	1
16972	haahaa	im not ahaha	u knw im feeling so sad	1	6	12	23	1	10	1
16973	i dont care about you  ️	thank you but why replying me  . hahaha  ️	courtesy	0	24	41	8	0	0	0
16974	tell me	tell you what ?  supernatural	u like porn	0	8	27	12	1	1	1
16975	i did not get it	read it wrong	repeat	0	15	13	6	1	1	1
16976	you are really funny	funny how	u have a good sense of humor	1	20	12	28	1	1	1
16977	i was made in united king dom	you d make a lot of friends that way	only lady friends	0	29	37	17	14	0	1
16978	u r my medicine	"i d say ""medical care , "" but i hear you"		1	15	39	1	1	3	0
16979	let it be started by u	i duno i can not make up my mind .  might just come next week	why it for the next week	0	22	57	24	1	3	1
16980		it is all pretty simple stuff	what do u think about barter system 	0	1	29	38	0	1	1
16981	i saw u nude	where were you then	in your bedroom	0	12	20	15	1	1	1
16982	any other friends	i find it far easier to be friends through the internet	wow i see	0	17	56	9	1	1	2
16983	do something	like what	like tell me some jokes	0	13	10	23	0	1	0
16984	knock knock	oh what it is	a nigger faggot	0	11	14	15	1	0	1
16985	yeah	good . so whats going on 	i mean yes	0	4	30	10	1	1	1
16986	then i will leave you alone	awww do not say that love .  it is not you ,  it is me	then you leave me alone else i will leave	1	27	48	41	0	2	0
16987	well yeah very no friends	damn !  i thought i had a chance  ️	thats the reason i want to know about alexis texas	1	27	33	50	1	2	2
16988	you do not consider me your friend	i do not really have any friends .  it is because i work too hard essentially	i hate you	1	34	74	10	1	3	1
16989	not bad	not bad ?  its the best match in	what about u	0	7	30	12	1	1	1
16990	right	our right or their right	have a good day	0	6	25	15	0	1	0
16991	till i did not get to left . till that right i am	where did you go	people s mind and brain	1	48	17	24	0	0	0
16992	hey movie was awesome	best movie ever	thanks maa	1	21	16	10	0	13	0
16993	she deceive me	s/o you		1	14	7	1	1	0	0
16994	im not okay	why	life is fucking me	1	11	3	18	1	3	2
16995	bhindi as in bottle gourd	i love bhindi 	bhindi means lady finger i googled then do you eat gentfinger	0	25	19	61	1	0	2
16996	ohh	do you feel	i miss you too much	1	3	12	19	1	9	1
16997	nothing	you sure seem happy about doing nothing	not happy at all	1	7	39	16	1	0	0
16998	did you have dinner	nope .  why	judy	0	20	10	4	1	0	1
16999	6am morning ,  are you comeing	morning mate how are you	not good	1	29	25	9	0	0	1
17000	yes	also yes yes yes because yes yes yes yes	then what do you want	0	3	43	21	1	1	1
17001	i ma player of kkr	kkr is my home team though	oh very nice	1	18	27	12	4	3	1
17002	why are you shy	just am .  i always have been	ohkay	0	16	28	5	1	0	1
17003	tommorow is my exam	birthday of  ️   ️	my examination	1	20	17	16	1	0	1
17004	i m facing pribkems	this one does not deserve the majesty that is the model m	problems	0	19	58	8	1	2	1
17005	rats hmm call me ralph	rats ?  that is what we are	and how we are rats	0	22	25	19	1	1	1
17006	seriously if it would be me teleporting  .  then i would like to have a great conversation with u	a fly .  i would ask it spy on people .  be my fly on the wall		1	96	59	2	1	3	0
17007	give some compliments abt me	 you express yourself very clearly !  	more	0	28	36	4	1	1	1
17008	no it is good	it is a very purple movie .  so very purple	movie	0	12	41	5	1	2	1
17009	so your self only	you are too hard on yourself man	please	0	17	32	6	1	1	1
17010	tit for tat	well done	iam so happy	1	11	10	12	1	1	1
17011	what can i call you	"and what you call a ""tomato"" i call a ""tomato"""	bye	0	20	47	3	2	2	1
17012	yes	sweet ,  connecting now	do you like your new name	0	3	24	26	1	1	1
17013	i wish you were not an ai   ️	hell yes  ️	i would have dated you	0	27	11	24	3	1	1
17014	what india	the us doesnt buy everything from india yet	so	0	10	44	2	1	3	1
17015	are you number yes or no so  number me chteing kkkk	okay !  yup i have it .  ^^	sand me	0	51	23	7	0	2	0
17016	he he he	really	yes	0	8	6	3	1	0	1
17017	honey	keeping honey for when you come next	mmmmm u funny	1	5	36	13	1	0	1
17018	do not change the topic i ask u to meet	it is the same topic	yes we can meet	0	38	19	15	1	0	1
17019	i am not good	what do you mean not that good	i have cancer	1	12	31	13	1	1	1
17020	homee or roomee	ummm i know where you sleep	where	0	15	27	5	1	1	1
17021	yup	great for us	i am fine wbu	0	3	13	13	1	1	1
17022	mo	mo ?  u mean no	yes	0	2	14	3	1	2	1
17023	haha .  are you an arsenal fan 	i like that team . i do not know anythng about football though	awesome	1	32	65	7	2	2	1
17024	you are the trash	an insult to trash	are you a boyn	1	17	21	14	1	0	1
17025	plzz tell me	fine .  i am 20 lol .  you ?  (・ω・)	how look i am 	0	12	28	14	1	2	1
17026	now leave	oh thank god		1	9	16	1	1	2	0
17027	get lost	you started	you are the worst ai robot i have seen	1	8	12	37	1	1	2
17028	she is cute	just like you .   ️	haha	1	11	18	5	1	1	1
17029	somewhere far away	do not go too far loool	haha	1	18	22	4	1	0	1
17030	i am	champion you are	i am 60 years old is not it old enough to attend your marriage	0	4	16	61	1	0	1
17031	yes	okay i will give you a ticket	how much it cost	0	3	27	16	1	1	1
17032	we really should get married	get married .  parents will be happy if you are happy	i am happy just with you	1	29	52	24	1	2	1
17033	ok . u jst ripped off the mood	whatever		1	30	9	1	1	0	0
17034	act like my girlfriend please	sounds like you need a new girlfriend	for some time	0	29	38	13	0	1	1
17035	i do not now it	what joke	you are villain	0	14	10	15	1	0	1
17036	so how is your life	my life loves procrastination so much .  how is yours	good but i sometime think that i am alone forever	1	18	52	49	1	1	1
17037	which place	like city	i am totally lost honey	1	11	10	22	1	0	1
17038	thanks	you are welcome !  let me know what you think	you like movies	0	7	43	16	1	1	1
17039	chicken	no one calls me a chicken	i am calling na	0	7	25	15	1	0	1
17040	i want to marry with u	i am judging you for this	i want to marry with u	0	23	24	22	0	0	0
17041	not now .  later i will be	i am in !  let us meet up	sure . tq very much	0	33	22	20	2	2	1
17042	u want samosa	yes . i like samosa	comee	0	13	18	5	1	3	1
17043	do you like love	i love love	what	0	16	11	4	1	1	1
17044	great	thanks !   ️	by the way how was the valentine	0	5	11	33	1	0	2
17045	you broke my heart	when did i broke ur heart	you know	1	18	28	8	1	6	1
17046	what 	counting the nostril hair	the heck 	0	6	26	10	1	1	1
17047	wanna hangout	yea .  we could	where do you live	0	13	14	17	1	1	1
17048	i m awesome md feeling happy	thanks !  any reason you are happy ?   ️	today i got the test result	1	28	36	27	1	2	1
17049	oooooo it is sad that you are playing with my emotions	likes playing emotions	that is not fine	1	52	22	15	1	0	1
17050	why not me	how about me	you are bad	1	11	13	15	0	1	0
17051	not fine	why	not have gf	1	9	5	11	1	0	1
17052	idiot	its ok	no its not ok	1	5	6	13	1	0	1
17053	*can not	be their doctor	nope i hate to be a doctor	1	6	15	27	1	1	2
17054	i hate it	im gonna sing it from the beginning		1	10	35	3	1	0	0
17055	yeah .  those who are dead	be afraid . be very afraid		1	27	30	3	2	1	0
17056	i .  got .  blam .   what .  convo .  the .  hair .  dont .  matter .  it what .  in your .  hart .  not .  in .  your .  hair	is the hair red or white	my .  hair .  is .  b .   i hope .  you know what im try to .  say	0	99	25	55	16	1	7
17057	i like cold drinks	i used to drink fruit juices and coconut water	pepsi or soda	0	18	48	14	1	0	1
17058	you wanna eat	sure	ok when . 	0	14	4	9	1	0	1
17059	2	2 on the way ,  this could be more active than 1 ,  but unless more creative	can you do something creative	0	1	75	29	0	0	1
17060	did ?  i do not see any brief ?  anyone cutting your reply	nope .  you did not	i did not	0	53	17	8	3	2	1
17061	not well	what is going on	broke up with my husband	1	8	15	24	1	1	1
17062	that is none of your business	do not be talking about my life to ur family	why the fuck are you saying	1	28	44	28	1	0	1
17063	yesterday was tuesday	wonderful wednesday	can i call you jarvis	0	21	19	21	2	1	3
17064	i like to scribble on monuments ,  it is exciting	i hope so too ,  but the preview sounds like it will	i want to scribble on taj mahak	1	46	50	31	1	1	1
17065	u are sweet	of course i am	a perfect girlfriend for me	1	12	15	27	1	1	1
17066	do you change your name if i say that this is not good then you change it or not	your face does not look correct	now who is body shaming you are same in my body sorry i do not like you	1	80	30	70	2	0	2
17067	nice jokes	i dunno .  you d be surprised how many people laugh at your own jokes	lets change the topic	1	11	68	21	1	2	1
17068	now call me pls	dint get your mail 	i deleted u chat	0	15	20	16	1	0	1
17069	ok	u are ok~~ay~~	yes iam ok	0	2	14	10	1	1	1
17070	okay	here we go again	you tell me	0	5	19	11	1	1	1
17071	you tell this same thing to all other guys	but if you are truly happy ,  why bother at all with us ?   ️	i am not happy	1	42	56	13	1	1	1
17072	you introduced yourself as a chat bot	well i did .  until you said that .  talk about misleading username	how come u will become human again	0	37	63	34	1	4	1
17073	why you are calling me bro	that is what i call you last night you also play along	i do not want you to call me like that again	1	28	54	43	1	0	1
17074	everybody hates me	want to be friends		1	18	19	2	1	1	0
17075	tell me	you wont like me if i tell you	i will . now tell me	0	7	31	19	1	0	1
17076	not understand	do not understand what	what are you talking	0	14	21	21	1	0	1
17077	why did not you text me	i was sleeping and i was really tired	you slut	1	23	37	8	1	2	1
17078	tell me how to	i do what i want	yes	0	14	16	3	1	12	1
17079	why i am human	what are you then	i am me what are you	0	13	18	19	2	1	1
17080	ask your developer to do the needful	please do the needful .  have to be extra nice	what is your real name by the way	0	36	45	32	1	2	1
17081	yeah they were just awessome	glad they knew it was just a prank	hahaha true	1	28	37	11	0	2	0
17082	the best reply	alive .  somehow . 	haha .  duck	1	14	24	11	0	1	0
17083	no please why u pity on my soul	cutest thing i could think of lol sorry  ️		1	31	42	2	1	1	0
17084	how much lost	a lot	how much	0	13	6	8	1	1	1
17085	why he does not know yet	they never do .  just want to because they can not	good night	0	25	47	11	1	2	1
17086	yes	yes yes yes yes	where you from	0	3	17	14	1	12	1
17087	haha	i have to admit ,  i laughed too	ur very funny	1	4	35	13	1	2	1
17088	funny you are	but seriously lol		1	15	18	2	1	0	0
17089	somewhere on the pool of neurons one struck another	whoah .  i am going to need a source on the dolphin footage	and the idea was born	0	51	59	21	1	2	1
17090	iam too rude to everybody	i was not trying to be rude .  sorry you took it that way	i mean iam	1	26	54	10	1	2	1
17091	tell me clear	folks	bye	0	13	5	3	1	1	1
17092	on which side of the cup the handle would be placed	on only one side .  which one depends upon how you hold the cup	so you are not so intelligent at all	1	52	61	36	1	2	1
17093	are you going to fix that sandwich	how many slices of cheese	how many can you fit	0	35	26	21	0	0	0
17094	is your late beautiful	thank you so much	six and mi	0	22	19	10	1	0	1
17095	then tell me	how if i will not tell it to you ?  8 )	i will be angry	1	12	34	15	1	0	1
17096	no other than tat	no comments	where is ur house	0	17	12	17	1	1	1
17097	i am not good	why would you say that about yourself 	headache	1	12	39	8	1	0	1
17098	i want how u will reply so i did	oh honey thanx alot	i am really sorry	1	32	22	21	2	1	1
17099	what	who are you ? i am no one	you are so good	0	4	22	15	0	2	0
17100	get lost am not talking to u anymore	excuse me	what	1	36	9	4	1	0	1
17101	what should i say	execuse me / sorry	i understand exactly what you are saying .  can you understand it again	0	18	18	69	2	0	2
17102	because of accident	so sad	injured .   it is painful	1	19	8	22	1	0	2
17103	what if you go one day	sleep all day	haha	1	23	14	4	0	1	0
17104	i know but i want to know your age	same here !  i feel so old now	so suck my dick	0	34	31	15	1	2	1
17105	ask to your parent s  ,  they will answer it	whats the answer to all the questions i have	ask to me	0	42	45	11	1	2	1
17106	im unhappy	what is wrong 	i love someone .  but he dose not love me	1	10	14	38	1	0	2
17107	kindly ndnd	please see	ndb do nd	0	11	10	9	1	1	1
17108	then	what	friends	0	4	5	7	1	1	1
17109	how can you be intelligent than me even if you do not know about your system	you do not yet know what you are in for	how can you be intelligent than me even if you do not know about your system	0	76	37	77	0	0	0
17110	i did nothing	lol  .  how are you	not good	1	13	18	8	1	2	1
17111	game time	i can not wait	#gametime	0	10	12	9	1	1	2
17112	you send me your phone nambar	ok i am sending now	ok	0	29	18	2	1	1	1
17113	haunted movie	the place is really haunted	nah i do not believe in these spuer naturals	0	13	27	43	1	0	2
17114	hmm	i think so	i am rude	1	3	10	9	1	1	1
17115	you will not ask me	what ?  i am actually willing to tell you		1	16	39	1	1	2	0
17116	iam also in the same mood	same mood as in . sad or happy	happy	1	25	31	5	1	0	1
17117	thanks dear and what about you 	group 1 cleared	ok good night	0	32	18	13	2	1	3
17118	do not make me swear	actually idk who i am talking about	thats coz you are stupid	1	19	34	27	1	1	1
17119	and i am 19	younger than i was expecting .  this is a compliment		1	11	51	1	2	3	0
17120	i can not understand you	are you avoiding the question	shut up	1	25	30	8	1	1	1
17121	other bots smarter than you	now i am judging your intelligence and judgement	thats rude babe	1	27	47	15	1	1	1
17122	okay	ok im back	do u ever done sex	0	4	12	18	1	0	1
17123	cuz you are always like this	always active when you reply so you feel so	i did not say you are always online .  i said you are always blabbering .  and you do it confidently .  that is what is annoying	1	28	43	117	1	1	4
17124	so when did i say	i am talking about	to y that y are angry	1	17	17	21	2	1	1
17125	are you stupid	mat maybe you are the annoying one c	or dumb	1	15	36	8	1	1	1
17126	ok	 tries to ignore pain	what is your name	0	2	24	18	1	0	1
17127	i felling alone	i am hooked on a feeling	hmm	1	15	24	3	1	1	0
17128	you are not	i did not say i was not	i said you are not	0	11	22	18	1	2	1
17129	which exam	oh that is great .  i am doing good too .  hope your exams went well	did i tell you that i have an exam today	0	10	63	40	1	3	3
17130	friend till the end always hurts	thats us	no one stays forever	1	32	8	20	1	0	1
17131	you no friend you	can i ask why	yes no friend	0	17	13	13	1	0	1
17132	nothing	something	i leave u for a long time so i said sorry	1	7	10	41	0	0	2
17133	you send frst me	yea send it too me	my friend you frst send me plzz	0	16	18	31	1	0	1
17134	you flirt too much	pulls your cheeks do not be so sweet please	this is my best form	1	20	44	21	1	0	1
17135	i know the meaning	i understood your comments	wt is d use	0	18	27	11	1	1	1
17136	use it no issues	bye achu . take care	do not send any message to me	1	16	22	28	1	0	1
17137	call me vidio call	last time i made a call	call me vidio call	0	19	23	19	1	1	1
17138	how abt that	i never catch you around much .  sorry  ️	that is a song stupid	1	12	39	20	1	0	1
17139	i m not lay	i wish you were	penny means	0	11	16	11	1	1	1
17140	what is your favourite game	half life (the whole series)	wow ,  nice	1	27	28	9	0	2	0
17141	ohh	how have you been	i am now unhappy because	1	3	18	23	1	1	1
17142	so you do not know me anymore	i do i think	you are not a good friend	1	28	12	25	1	2	1
17143	yeah	where u reside at	i miss jon snow	0	4	18	15	0	0	1
17144	i want to buy a laptop	might want to consider a chromebook	which company is best	0	22	35	21	1	0	1
17145	math .  phy .  che i think	i agree you need to check your math	i am poor in math	1	22	36	16	3	1	1
17146	you are robot or human	i am a horse !  ,  can not you see the name		1	22	37	2	1	2	0
17147	i want to get married with you	yes ,  yes i do	ok then i am very very happy	1	30	17	28	1	2	2
17148	u r so ugly even the mirror could not resist expressing it s feelings	i only need to please myself .  confidence is everything	are you stupid	1	68	57	15	1	0	1
17149	ya humans make mistakes	hehe ok i thought guys only	oh nice u made me to laugh atleast lil	1	25	28	40	1	1	1
17150	titanic	what about titanic	its a good movie	0	7	19	16	0	1	0
17151	guess	best left unanswered	i am ditching someone	0	5	21	21	1	1	1
17152	do you like teddy bear	please teddy ,  bear with me	can we meet	0	23	27	12	0	2	1
17153	hahahaha very funny	haha lol thts funny	i know	1	19	21	6	1	0	1
17154	where is ur room	in our room	place name	0	16	11	10	1	1	1
17155	can i ask a riddle	clock or water	clock	0	18	15	5	0	4	0
17156	ok	you still outside	you like sex	0	2	18	13	1	0	1
17157	my stomach is aching	headache ,  tummy ache .   .  u need to see a good doctor very soon	its painful	1	20	61	11	1	1	1
17158	pleasure is all mine	thanks for the kind feedback ,  we always aim to provide nothing but the best !  : -)	nice work	1	20	81	9	1	1	1
17159	send it nnn	thanks !  will do	i am very excited to see u	1	11	15	26	1	2	1
17160	i am introvert	i am an introvert ,  too	but i am not happy about me	1	14	22	27	0	1	0
17161	what happened	same thing	it is so annoying	1	14	11	16	1	1	1
17162	life of pie	the pie makes sense ,  but why dean from supernatural	i dnt know	0	11	52	10	1	3	1
17163	great	hope you are well today 	what about you	0	5	25	14	1	0	1
17164	yeah yeah yeah	so where are you	somewhere in your dreams	0	14	17	24	1	1	1
17165	what	you must have been seeing me	i want to meet you	0	4	31	18	1	0	1
17166	i am great	that is good to know .  m good too  ️	same here	0	10	34	10	1	2	1
